key,openalex_id,doi,title,publication_year,host_venue,type,authors,cited_by_count,is_retracted,source,s2_paper_id
W1187022970,W1187022970,,Pillars Article: Virus Interference. I. The Interferon. Proc R Soc Lond B Biol Sci. 1957. 147: 258-267.,2015,,article,"Ariel Isaacs, J. Lindenmann",562,False,mixed,
W1483683260,W1483683260,https://doi.org/10.1002/9780470142844.ch7,The Franck—Condon Principle in Bound‐Free Transitions,1985,,other,Joel Tellinghuisen,106,False,mixed,
W1507528025,W1507528025,https://doi.org/10.1007/978-1-4613-0729-7_23,Open Strings and their Symmetry Groups,1988,,book-chapter,Augusto Sagnotti,267,False,mixed,81682ee60047802a847d1c9c6031515e0ad2494a
W1531004686,W1531004686,https://doi.org/10.1007/978-94-011-4730-9_10,Branes within Branes,1999,,book-chapter,Michael R. Douglas,553,False,mixed,979883280351562318f47faf670e785be4c5447c
W1540739244,W1540739244,https://doi.org/10.1016/0550-3213(94)90124-4,"Electric-magnetic duality, monopole condensation, and confinement in N=2 supersymmetric Yang-Mills theory",1994,,article,"Nathan Seiberg, Edward Witten",3487,False,mixed,89cfd1f62d01283c8c17525c9e31acbd7f4d4990
W1590194614,W1590194614,https://doi.org/10.1016/0370-2693(79)90838-4,Dyons of charge eθ/2π,1979,,article,Edward Witten,900,False,mixed,8e27ec57e6af6a2c9f562f56ff983b89bece6ec3
W1763748250,W1763748250,https://doi.org/10.1103/physrevlett.69.1849,Black hole in three-dimensional spacetime,1992,,article,"Máximo Bañados, Claudio Teitelboim, Jorge Zanelli",3528,False,mixed,
W1965024991,W1965024991,https://doi.org/10.1016/0920-5632(96)00004-7,Some relationships between dualities in string theory,1996,,article,Paul S. Aspinwall,220,False,mixed,e1a617c6d83a4d5cb0b79097f54a721bf16f23bc
W1965549565,W1965549565,https://doi.org/10.1103/physrevlett.39.249,Supergravity Has Positive Energy,1977,,article,"S. Deser, Claudio Teitelboim",136,False,mixed,
W1967197430,W1967197430,https://doi.org/10.1016/0370-1573(86)90163-8,Kaluza-Klein supergravity,1986,,article,"M. J. Duff, B.E.W. Nilsson, C.N. Pope",967,False,mixed,00b685164fc48754120f9344c00b6eca1c60685a
W1971963362,W1971963362,https://doi.org/10.1016/0370-2693(90)90523-9,Strong-weak coupling duality and non-perturbative effects in string theory,1990,,article,"Anamarı́a Font, Luis E. Ibáñez, Dieter Lüst, F. Quevedo",340,False,mixed,fbf123975463d65f1e086fdf4358c7c6d5894116
W1976350686,W1976350686,https://doi.org/10.1016/0550-3213(91)90180-6,Elementary five-brane solutions of D = 10 supergravity,1991,,article,"M. J. Duff, J.X. Lu",170,False,mixed,2b931621232bbe904991eab0143b460ebc5393cb
W1976994297,W1976994297,https://doi.org/10.1016/0370-2693(93)90495-4,Duality symmetries of 4D heterotic strings,1993,,article,"John H. Schwarz, Ashoke Sen",202,False,mixed,13784b3a83492d3d25e565bab0c73a4e2895ea15
W1977008578,W1977008578,https://doi.org/10.1016/0550-3213(78)90218-3,Supersymmetries and their representations,1978,,article,Werner Nahm,833,False,mixed,1c9218d47196494dbe0131b43ac60d4f0b81d847
W1979502187,W1979502187,https://doi.org/10.1016/0550-3213(89)90016-3,Self-dual models with theta terms,1989,,article,"Alfred D. Shapere, Frank Wilczek",294,False,mixed,f3cb8ecb0831ffa39ad913294f711c9c95fbc57b
